,label,embryo,area,diameter,Z,Y,X,sm50_spots,sm50_intensity,pks2_spots,pks2_intensity
12,13,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,526,10.015263360449897,7.94106463878327,265.2965779467681,274.8688212927757,3,1.2643978829920772,19,1.7235103594297674
13,14,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,396,9.110988977026786,7.295454545454546,370.2853535353535,225.3686868686869,4,1.3959128505107716,21,2.442544957416396
14,15,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,452,9.521673181665983,9.199115044247788,259.25,291.99557522123894,6,1.5749627815386935,25,2.0994735031886806
15,16,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,380,8.986591310700472,12.389473684210529,254.10526315789477,309.6894736842105,21,3.2646373542525446,61,3.623870431706738
16,17,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,364,8.858650893549816,12.925824175824175,341.36813186813185,243.95054945054943,3,1.508283722353802,84,5.1196611620651264
17,18,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,300,8.305661184154147,14.77,261.86,320.2633333333333,23,4.085838005615413,32,3.6691430855865543
18,19,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,270,8.019027705431855,18.048148148148147,242.45925925925928,321.1555555555556,24,4.375842516496053,54,4.491137692863052
19,20,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,217,7.455676179951913,18.193548387096776,259.036866359447,187.7004608294931,3,2.2925418164868776,37,4.364208256455672
20,21,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,421,9.298819646319991,20.73871733966746,239.4940617577197,332.5296912114014,27,3.095980241509162,21,1.6119020249280054
21,22,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,204,7.303715508276279,22.044117647058822,228.44117647058823,336.6813725490196,21,4.000856552798543,40,4.04136285088274
22,23,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,270,8.019027705431855,24.788888888888888,269.51851851851853,355.46666666666664,37,4.370131494892636,31,2.803505081208173
23,24,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,289,8.202880916352756,25.26643598615917,246.4878892733564,337.3287197231834,38,4.114430892689897,39,3.072636995694828
24,25,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,133,6.333119354948481,24.571428571428573,193.0375939849624,297.5263157894737,0,1.1409709446998904,1,0.9182160069357572
25,26,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,321,8.495106021481153,26.82242990654205,244.809968847352,351.90965732087227,56,4.58267759474462,88,5.470757736307879
26,27,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,256,7.877960174741571,28.3046875,215.52734375,297.96484375,16,3.269449725845884,5,1.229726466705328
27,28,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,271,8.028915542458407,28.527675276752767,282.2435424354244,362.8892988929889,35,3.911535716154367,37,2.585683053082525
28,29,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,270,8.019027705431855,28.355555555555554,294.72222222222223,365.1222222222222,36,5.000728322523714,46,3.909703211967931
29,30,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,356,8.793271013346935,30.741573033707866,219.92134831460675,272.75280898876406,19,2.9292146837563946,53,4.181866674304371
30,31,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,236,7.667217681165305,30.440677966101696,312.728813559322,364.4025423728813,17,3.984569529114109,36,3.302339114045453
31,32,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,61,4.884015919923077,30.49180327868853,217.4918032786885,190.8360655737705,0,1.2035108532196404,0,0.3684147867349611
32,33,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,259,7.908614025084603,32.285714285714285,223.91505791505796,254.1235521235521,12,2.3010778086991626,71,5.58811999507033
33,34,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,262,7.93903207074245,32.954198473282446,229.35496183206104,222.3740458015267,15,2.783637682718876,18,2.581035778682488
34,35,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,307,8.369764743424398,32.931596091205215,241.1172638436482,210.75244299674267,14,3.118370556023918,34,3.54002206350174
35,36,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,149,6.57752562495326,33.31543624161074,231.23489932885903,240.2214765100671,7,3.721220529513511,28,4.865051340720116
36,37,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,335,8.616853875390476,3.531343283582089,284.8298507462687,244.044776119403,5,1.716280852223779,24,3.5362307962432604
37,38,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,262,7.93903207074245,1.847328244274809,290.2671755725191,201.4732824427481,1,0.915810973592736,4,0.7594555984918748
38,39,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,451,9.51464611403477,2.7671840354767183,299.15077605321505,202.8558758314856,2,1.0804136281581718,6,0.9895490820679272
39,40,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,410,9.217116528325628,1.895121951219512,323.6609756097561,211.33414634146345,2,1.3602490869400825,6,1.2238085520480977
40,41,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,242,7.731651102653187,4.0578512396694215,329.42148760330576,200.55785123966945,7,1.8557233728421123,11,2.0088996238901906
41,42,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,216,7.4442058907928,5.356481481481482,319.64351851851853,201.93055555555557,3,1.4590563810362214,5,1.4923574011621563
42,43,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,481,9.721101656163937,8.133056133056133,273.7401247401247,195.11850311850316,4,1.8649413684258405,3,0.6870517158625599
43,44,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,156,6.678957173048376,9.243589743589745,282.20512820512823,191.7948717948718,0,1.064988395466517,0,0.3017001604838755
44,45,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,371,8.915076942846547,7.954177897574124,366.177897574124,216.46361185983827,3,1.1174190666347426,23,2.7172552831534733
45,46,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,225,7.546193987406538,17.93777777777778,253.6266666666667,326.2,21,3.971192852757214,18,2.143470585041419
46,47,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,330,8.57376888612011,20.275757575757577,252.14545454545456,335.969696969697,20,3.5166926743357925,42,2.9911499315467958
47,48,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,142,6.472865367940743,21.795774647887324,252.19014084507043,346.28169014084506,15,3.9888379995130254,17,3.461980384578593
48,49,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,306,8.360667165881503,28.176470588235293,258.6830065359477,357.9967320261438,39,5.415118295440821,64,4.183309663470634
49,50,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,563,10.244794645970371,25.47424511545293,234.75488454706928,344.2557726465364,75,4.288196251885725,66,2.664834018519907
50,51,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,334,8.608271345931188,27.619760479041915,229.82934131736528,336.7544910179641,57,5.062099307943665,14,1.2037593557722674
51,52,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,478,9.700849302385112,25.255230125523013,218.02510460251045,318.8765690376569,97,5.482642879155742,35,2.094380964083568
52,53,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,327,8.547708637567618,24.831804281345565,222.6605504587156,329.20489296636083,57,4.9983853984975015,14,1.682744751546943
53,54,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,286,8.174398461619802,28.045454545454547,225.11888111888112,324.44405594405595,71,6.291523736959156,27,2.7374162455346243
54,55,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,221,7.501208155472893,28.334841628959275,219.78280542986425,310.3438914027149,9,2.8317657970152283,9,1.44232933731039
55,56,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,309,8.387900801742607,27.867313915857604,244.4466019417476,192.210355987055,23,3.855684445776648,48,4.685172777206584
56,57,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,402,9.15677361007808,30.53731343283582,238.93283582089552,200.4825870646766,32,3.9289232773908656,32,3.7498450195241686
57,58,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,354,8.776773280386656,31.70056497175141,251.88983050847455,194.545197740113,11,2.2177997530624007,39,4.357067004204965
58,59,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,290,8.21233124834642,21.351724137931036,263.99310344827586,185.20689655172413,6,2.237561488281122,23,3.755751629780772
59,60,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,229,7.590649763967882,26.157205240174672,256.0349344978166,186.9868995633188,17,3.314324988049307,21,4.398519535309684
60,61,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,296,8.268581845817097,5.368243243243243,289.6655405405405,199.1824324324324,3,1.4082251619157484,3,0.660959041000216
61,62,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,245,7.763468955394106,12.004081632653062,267.50204081632654,191.97551020408164,2,1.6849418340298106,14,2.1926698148311017
62,63,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,68,5.064113492312934,14.808823529411764,265.4852941176471,188.7941176470588,0,0.8766662566132235,0,0.7938374476022425
63,64,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,197,7.219202121944973,11.97969543147208,281.5939086294416,192.81218274111677,0,1.3117325059063425,0,0.1833209644243804
64,65,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,424,9.32085484635786,24.45518867924528,255.2028301886793,349.8844339622641,40,4.12339266993595,84,4.75181174428704
65,66,MK886_MK-2-0_replicate3_18hpf-MK2uM-R3-emb4,271,8.028915542458407,28.00369003690037,270.2472324723247,359.2546125461255,58,5.469003738820352,76,4.994952278396535
0,1,DMSO_groupA_18-DMSO-emb1,354,8.776773280386656,1.8728813559322035,403.8813559322034,212.30225988700565,0,0.5073529294085753,2,0.8317060644584833
1,2,DMSO_groupA_18-DMSO-emb1,283,8.14571612592436,2.431095406360424,413.75971731448766,228.69964664310956,0,0.357434790163596,1,0.7920639719524651
2,3,DMSO_groupA_18-DMSO-emb1,240,7.710292841628196,3.1125,392.3208333333333,199.39583333333331,0,0.5985435786546771,3,1.3575144690150744
3,4,DMSO_groupA_18-DMSO-emb1,269,8.00911542375221,5.438661710037175,421.8066914498141,233.75092936802972,1,0.7550393334085009,6,1.7382498406690792
4,5,DMSO_groupA_18-DMSO-emb1,342,8.676458514270498,8.771929824561404,441.0292397660818,243.92397660818716,1,0.716645742906024,3,1.6833561861086337
5,6,DMSO_groupA_18-DMSO-emb1,64,4.9628039271952,7.015625,453.015625,216.125,0,0.2078454222965611,0,0.4132516098781464
6,7,DMSO_groupA_18-DMSO-emb1,164,6.791229523398108,9.75,385.3841463414634,183.03048780487805,0,0.7568988679477572,2,1.6947877216364482
7,8,DMSO_groupA_18-DMSO-emb1,134,6.348952219224,10.626865671641792,432.0074626865672,250.21641791044777,1,0.6318378626087703,2,1.2667170862158652
8,9,DMSO_groupA_18-DMSO-emb1,150,6.592207650508867,11.246666666666666,383.8933333333333,170.49333333333334,3,1.1133553657476167,0,0.4117528092636158
9,10,DMSO_groupA_18-DMSO-emb1,192,7.157601831517195,16.411458333333332,378.7291666666667,151.96875,3,1.4537395170413183,1,1.0661197448877484
10,11,DMSO_groupA_18-DMSO-emb1,147,6.547963313035439,17.25170068027211,445.5986394557823,264.7687074829932,6,1.9306602767822367,2,1.6740620347069837
11,12,DMSO_groupA_18-DMSO-emb1,295,8.259259874164178,18.14237288135593,453.53559322033897,262.7322033898305,5,1.3019892175607206,2,0.8950869899658832
12,13,DMSO_groupA_18-DMSO-emb1,200,7.255663357195618,19.54,377.315,141.34,5,1.5035187274417443,0,0.5509718060518266
13,14,DMSO_groupA_18-DMSO-emb1,217,7.455676179951913,22.599078341013826,456.0921658986175,272.8479262672811,8,2.030366205278284,2,1.080967207039576
14,15,DMSO_groupA_18-DMSO-emb1,275,8.068225425138188,25.45090909090909,462.4472727272727,280.63272727272727,10,2.509523951158575,0,0.6037978799906049
15,16,DMSO_groupA_18-DMSO-emb1,99,5.739563398758103,24.91919191919192,452.2626262626263,284.92929292929296,5,1.990862395912548,0,0.4727305424015166
16,17,DMSO_groupA_18-DMSO-emb1,326,8.538986479839005,28.13496932515337,357.5184049079755,133.08282208588955,15,1.6983015908443144,9,1.3757884186689284
17,18,DMSO_groupA_18-DMSO-emb1,210,7.374629802528655,26.69047619047619,372.9047619047619,132.31428571428572,10,3.064637217275884,10,2.469425027583436
18,19,DMSO_groupA_18-DMSO-emb1,174,6.926548433133662,27.35632183908046,449.367816091954,293.3103448275862,4,1.9231999951433685,1,1.230299391877085
19,20,DMSO_groupA_18-DMSO-emb1,247,7.784536817045507,29.52226720647773,356.3481781376518,146.05263157894737,10,2.326644392532535,5,1.2959784515943271
20,21,DMSO_groupA_18-DMSO-emb1,189,7.1201267897377285,29.703703703703702,455.9470899470899,301.968253968254,18,4.1657493651267234,12,3.259082936853318
21,22,DMSO_groupA_18-DMSO-emb1,205,7.315630236588791,29.385365853658534,461.6,278.8487804878049,18,3.2460393249231325,1,0.9806053169834504
22,23,DMSO_groupA_18-DMSO-emb1,294,8.24991681203272,31.758503401360542,349.47278911564626,135.5,38,3.3382723011223683,19,3.482172475787248
23,24,DMSO_groupA_18-DMSO-emb1,290,8.21233124834642,31.662068965517243,361.7620689655173,136.89655172413794,24,2.476737097720992,5,1.1807406408302443
24,25,DMSO_groupA_18-DMSO-emb1,259,7.908614025084603,30.79150579150579,372.0,133.52895752895753,44,3.2257067676938536,15,3.0095000825612788
25,26,DMSO_groupA_18-DMSO-emb1,168,6.845999868689003,30.952380952380956,463.1130952380952,288.2916666666667,14,2.872999106515825,17,3.7641949059788624
26,27,DMSO_groupA_18-DMSO-emb1,215,7.432700144648346,33.49302325581395,434.6976744186047,299.3488372093023,16,3.0741902167326174,8,2.740803070458288
27,28,DMSO_groupA_18-DMSO-emb1,172,6.89990759899837,32.58720930232558,451.6046511627907,306.8662790697674,8,2.5792076538316584,14,4.1891735659299565
28,29,DMSO_groupA_18-DMSO-emb1,214,7.421158666229637,34.504672897196265,338.25233644859816,139.65420560747663,15,2.5439404928796985,7,1.720581266670891
29,30,DMSO_groupA_18-DMSO-emb1,206,7.327506280548281,34.907766990291265,322.38349514563106,146.52912621359224,29,4.206800853375384,2,0.7960461021228262
30,31,DMSO_groupA_18-DMSO-emb1,204,7.303715508276279,35.71078431372549,334.0343137254902,151.93627450980392,36,4.2012072681567085,20,3.3622920750820304
31,32,DMSO_groupA_18-DMSO-emb1,340,8.659512263096044,35.63235294117647,426.1058823529412,316.99117647058824,52,4.424894554442213,10,1.9045380013651536
32,33,DMSO_groupA_18-DMSO-emb1,172,6.89990759899837,35.075581395348834,436.0988372093023,290.6220930232558,16,3.750494344292993,7,2.790522102231228
33,34,DMSO_groupA_18-DMSO-emb1,296,8.268581845817097,37.0304054054054,370.2635135135135,161.35135135135135,29,3.7260043034985215,15,2.777868675447635
34,35,DMSO_groupA_18-DMSO-emb1,138,6.411507500999382,35.8768115942029,384.2173913043478,330.5,14,2.7265917242112967,1,1.2475236939614427
35,36,DMSO_groupA_18-DMSO-emb1,270,8.019027705431855,37.28518518518519,403.5703703703704,324.85925925925926,32,3.752980304395281,9,2.178250896409057
36,37,DMSO_groupA_18-DMSO-emb1,133,6.333119354948481,35.21052631578947,437.83458646616543,309.18045112781954,13,2.609039874295052,8,3.815561389708182
37,38,DMSO_groupA_18-DMSO-emb1,226,7.557357012536988,35.51327433628319,452.8805309734513,286.6725663716814,33,3.65471915900781,21,3.6236587862576415
38,39,DMSO_groupA_18-DMSO-emb1,135,6.364706507682331,35.19259259259259,458.8444444444444,276.8666666666667,6,2.313084590981319,4,3.2701103408368275
39,40,DMSO_groupA_18-DMSO-emb1,225,7.546193987406538,37.44,287.6977777777778,183.26222222222225,9,2.2496946761738923,5,1.7140256628375832
40,41,DMSO_groupA_18-DMSO-emb1,239,7.699569193795551,36.74058577405858,366.5355648535565,144.2845188284519,22,2.881066569440081,8,2.8471761532688817
41,42,DMSO_groupA_18-DMSO-emb1,162,6.763509910720959,35.19753086419753,369.8888888888889,135.80864197530863,30,3.854935668049188,9,2.865572848638867
42,43,DMSO_groupA_18-DMSO-emb1,214,7.421158666229637,37.33177570093458,379.4485981308411,149.33177570093457,23,2.750425835904366,16,3.600578453263808
43,44,DMSO_groupA_18-DMSO-emb1,234,7.645497401392213,38.2948717948718,384.2905982905983,160.37179487179486,47,4.005308083589603,4,1.0501691775207591
44,45,DMSO_groupA_18-DMSO-emb1,303,8.333254945612431,37.82178217821782,441.1650165016501,263.6006600660066,51,4.93793644668693,6,2.0045225484127664
45,46,DMSO_groupA_18-DMSO-emb1,229,7.590649763967882,37.08733624454148,296.1921397379913,166.7947598253275,20,2.9080887175050343,2,0.7947660032310676
46,47,DMSO_groupA_18-DMSO-emb1,203,7.291761779042593,37.67487684729064,298.1871921182266,177.82266009852216,20,3.212006553936529,8,2.2787927100919947
47,48,DMSO_groupA_18-DMSO-emb1,240,7.710292841628196,37.60833333333333,311.6166666666667,162.75833333333333,40,4.876809182362186,7,1.5093830795633865
48,49,DMSO_groupA_18-DMSO-emb1,232,7.623653004050806,37.10775862068966,321.8836206896552,156.45258620689654,47,4.144380772864468,6,1.601098273838919
49,50,DMSO_groupA_18-DMSO-emb1,386,9.033642384583448,38.18652849740933,351.5621761658031,148.72538860103626,60,3.3488274123912607,18,2.8120527674202123
50,51,DMSO_groupA_18-DMSO-emb1,181,7.018214714693441,38.39226519337016,377.6022099447514,327.2209944751381,31,3.761787177250978,3,1.5727115855732556
51,52,DMSO_groupA_18-DMSO-emb1,232,7.623653004050806,38.22844827586207,390.3060344827586,174.09913793103448,47,5.181660236514631,4,1.7766347284292936
52,53,DMSO_groupA_18-DMSO-emb1,269,8.00911542375221,38.78810408921933,402.4386617100372,191.60594795539035,37,4.503137136747809,4,1.7283614930471405
53,54,DMSO_groupA_18-DMSO-emb1,290,8.21233124834642,38.210344827586205,414.0517241379311,315.6896551724138,31,3.5043243048180384,34,3.936696210851526
54,55,DMSO_groupA_18-DMSO-emb1,371,8.915076942846547,37.83827493261455,432.00269541778977,303.5768194070081,83,5.636606502188332,16,2.034844637473497
55,56,DMSO_groupA_18-DMSO-emb1,315,8.441843768512816,39.38095238095238,435.6,252.75873015873012,40,4.243969072590303,25,3.895607115102712
56,57,DMSO_groupA_18-DMSO-emb1,208,7.351143561296219,37.80769230769231,438.47115384615387,276.77403846153845,31,4.063492276397086,8,1.793908450173863
57,58,DMSO_groupA_18-DMSO-emb1,165,6.805004874579641,37.21818181818182,454.1575757575758,267.04242424242426,26,3.8953792239581935,3,1.343412679969134
58,59,DMSO_groupA_18-DMSO-emb1,302,8.324077344634837,39.47350993377484,426.4701986754967,229.93046357615893,59,4.1608326108357305,46,4.6775167169088965
59,60,DMSO_groupA_18-DMSO-emb1,258,7.898422500875398,38.22480620155039,439.8643410852713,289.13178294573646,45,4.497924854867783,23,4.099873016147245
60,61,DMSO_groupA_18-DMSO-emb1,283,8.14571612592436,21.75618374558304,369.3780918727915,143.93286219081273,11,2.377025762627213,1,1.1346515102219568
61,62,DMSO_groupA_18-DMSO-emb1,300,8.305661184154147,25.756666666666668,367.41,141.18666666666667,6,1.6492926459630826,3,1.0250637554896136
0,1,MK886_MK-1-7_groupA_18-MK-1-7-emb1005,219,7.478511471637478,1.5342465753424657,322.6438356164384,249.0958904109589,25,3.348414841733933,7,2.422429647241825
1,2,MK886_MK-1-7_groupA_18-MK-1-7-emb1005,208,7.351143561296219,1.3125,328.5576923076923,260.05288461538464,9,2.2974305292666792,5,1.785250505367544
2,3,MK886_MK-1-7_groupA_18-MK-1-7-emb1005,217,7.455676179951913,2.3870967741935485,313.49769585253455,228.58986175115209,15,2.257721673115769,1,0.5202537082752742
3,4,MK886_MK-1-7_groupA_18-MK-1-7-emb1005,235,7.656372945784155,2.2127659574468086,324.48936170212767,227.75744680851065,11,2.57016537364405,3,1.101706254821861
4,5,MK886_MK-1-7_groupA_18-MK-1-7-emb1005,206,7.327506280548281,2.1601941747572817,321.1650485436893,217.04368932038835,10,1.957871148102271,0,0.9564483384428936
5,6,MK886_MK-1-7_groupA_18-MK-1-7-emb1005,464,9.605200896897896,2.3577586206896552,345.3857758620689,336.14224137931035,4,1.478800933890654,1,0.8006338006494501
6,7,MK886_MK-1-7_groupA_18-MK-1-7-emb1005,134,6.348952219224,4.783582089552239,352.2014925373134,365.3134328358209,3,2.6120337498442185,2,1.5270234260994129
7,8,MK886_MK-1-7_groupA_18-MK-1-7-emb1005,110,5.944719320868062,4.454545454545454,297.8909090909091,211.9181818181818,4,2.5588411147864707,1,1.2284823253212145
8,9,MK886_MK-1-7_groupA_18-MK-1-7-emb1005,219,7.478511471637478,6.82648401826484,312.1552511415525,210.8036529680365,13,3.209249089127172,5,2.0332085396884025
9,10,MK886_MK-1-7_groupA_18-MK-1-7-emb1005,199,7.2435503741408285,6.934673366834171,357.95477386934675,373.2562814070352,6,1.804192216218461,1,1.210683725569641
