,ARI,FM,ncluster,P5.f1,P4.f1,C1+.f1,C1.f1,C3.f1,C2.f1,calinski,DB,method,Experiment,Sim,Rep,Run,LISI,Activated.LISI,Unnamed: 0,Markers (Total),Markers (%),Total Average Marker Shift,Perturbation Shift,Percent Perturbed,Markers (Mean),Gini (Control),Gini (Perturbed),Gini (Merged),Gini (Combined)
0,1.0,1.0,6,1.0,1.0,1.0,1.0,1.0,1.0,385.8758766397206,1.0754630487346402,icat,SignalExperiment10,1,1,SignalExperiment10Sim1Rep1,0.8844257058223671,0.8844257058223671,0,670,44.66666666666666,204623.76811505915,850.4757707715243,0.2,105.0,0.0,0.0,0.16666666666666666,0.0
1,0.9031397745181234,0.9253765931124797,5,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,421.1084916437944,0.7979197242369369,seurat311,SignalExperiment10,1,1,SignalExperiment10Sim1Rep1,0.45296508869202,0.45296508869202,0,670,44.66666666666666,204623.76811505915,850.4757707715243,0.2,105.0,0.0,0.0,0.16666666666666666,0.0
2,0.9031397745181234,0.9253765931124797,5,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,424.61692172343095,0.8551387771658396,scanorama,SignalExperiment10,1,1,SignalExperiment10Sim1Rep1,0.325832765229367,0.325832765229367,0,670,44.66666666666666,204623.76811505915,850.4757707715243,0.2,105.0,0.0,0.0,0.16666666666666666,0.0
3,0.8796389526496052,0.9051392536368283,6,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,24646.005220489107,0.45515300838938294,icat_scan,SignalExperiment10,1,1,SignalExperiment10Sim1Rep1,0.6073029738880561,0.6073029738880561,0,670,44.66666666666666,204623.76811505915,850.4757707715243,0.2,105.0,0.0,0.0,0.16666666666666666,0.0
4,0.9031397745181234,0.9253765931124797,5,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,528.7527445774061,0.7662518921823425,seurat_icat,SignalExperiment10,1,1,SignalExperiment10Sim1Rep1,0.782632304162193,0.782632304162193,0,670,44.66666666666666,204623.76811505915,850.4757707715243,0.2,105.0,0.0,0.0,0.16666666666666666,0.0
5,0.6623259578442331,0.7393199305656136,12,1.0,1.0,1.0,1.0,1.0,1.0,125.67010072473514,1.3951140977158494,no-int,SignalExperiment10,1,1,SignalExperiment10Sim1Rep1,0.0683928316228359,0.0683928316228359,0,670,44.66666666666666,204623.76811505915,850.4757707715243,0.2,105.0,0.0,0.0,0.16666666666666666,0.0
6,0.9959164195081996,0.9966779643878467,6,1.0,1.0,1.0,0.99009900990099,1.0,1.0,378.35388922804543,1.0397037820546011,icat,SignalExperiment10,2,1,SignalExperiment10Sim2Rep1,0.892430889175994,0.892430889175994,1,673,44.86666666666667,207761.69408081047,730.694583852374,0.2,105.0,0.0,0.0,0.16666666666666666,0.0
7,0.9031397745181234,0.9253765931124797,5,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,494.2712259195931,0.7226895608221785,seurat311,SignalExperiment10,2,1,SignalExperiment10Sim2Rep1,0.525129414549,0.525129414549,1,673,44.86666666666667,207761.69408081047,730.694583852374,0.2,105.0,0.0,0.0,0.16666666666666666,0.0
8,0.9031397745181234,0.9253765931124797,5,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,508.6761181480478,0.7939083134096989,scanorama,SignalExperiment10,2,1,SignalExperiment10Sim2Rep1,0.44228993658124605,0.44228993658124605,1,673,44.86666666666667,207761.69408081047,730.694583852374,0.2,105.0,0.0,0.0,0.16666666666666666,0.0
9,0.8445573039939087,0.87517333053952,6,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,28168.814793512734,0.3588925835474918,icat_scan,SignalExperiment10,2,1,SignalExperiment10Sim2Rep1,0.5851818524880239,0.5851818524880239,1,673,44.86666666666667,207761.69408081047,730.694583852374,0.2,105.0,0.0,0.0,0.16666666666666666,0.0
10,0.9031397745181234,0.9253765931124797,5,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,547.4519799028026,0.7558265810954754,seurat_icat,SignalExperiment10,2,1,SignalExperiment10Sim2Rep1,0.8114312718866071,0.8114312718866071,1,673,44.86666666666667,207761.69408081047,730.694583852374,0.2,105.0,0.0,0.0,0.16666666666666666,0.0
11,0.7160847124883625,0.7796596228590901,10,1.0,1.0,1.0,1.0,1.0,1.0,175.93143831116356,1.538079369105374,no-int,SignalExperiment10,2,1,SignalExperiment10Sim2Rep1,0.0863290937022383,0.0863290937022383,1,673,44.86666666666667,207761.69408081047,730.694583852374,0.2,105.0,0.0,0.0,0.16666666666666666,0.0
12,0.9031397745181234,0.9253765931124797,5,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,420.24552814853666,0.8740275804768192,icat,SignalExperiment10,3,1,SignalExperiment10Sim3Rep1,0.8820236235633171,0.8820236235633171,2,661,44.06666666666666,200338.2067152087,840.4679068377957,0.2,105.0,0.0,0.0,0.16666666666666666,0.0
13,0.9031397745181234,0.9253765931124797,5,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,529.0415331583159,0.7675578907164949,seurat311,SignalExperiment10,3,1,SignalExperiment10Sim3Rep1,0.409803100615004,0.409803100615004,2,661,44.06666666666666,200338.2067152087,840.4679068377957,0.2,105.0,0.0,0.0,0.16666666666666666,0.0
