,odds,pvals,pvals.adj,cluster,comparison,sig
0,2.0920725204408104,0.006391880674751816,0.010227009079602906,1,Chlorate-Control,True
1,1.367479674796748,0.34939505660961023,0.39930863612526885,2,Chlorate-Control,False
2,0.37875457875457874,0.0010297852468254467,0.0027460939915345244,3,Chlorate-Control,True
3,inf,1.0,1.0,4,Chlorate-Control,False
0,0.6491060025542784,0.2034293294950082,0.2712391059933443,1,MK886-Control,False
1,2.5704545454545453,0.0028922376430226757,0.005784475286045351,2,MK886-Control,True
2,0.017762660619803475,6.408010517165424e-13,2.5632042068661696e-12,3,MK886-Control,True
3,inf,5.184783730658962e-15,4.14782698452717e-14,4,MK886-Control,True
